feature,mean_abs_shap,rank
aa_C,2.0015438,1
length,0.8576637,2
aa_T,0.4231053,3
charge,0.3588032,4
aa_L,0.34543663,5
aa_V,0.33372885,6
aa_K,0.33348778,7
aa_F,0.2994582,8
positive_fraction,0.2827343,9
aa_I,0.25646335,10
aa_D,0.2560912,11
hydrophobic_count,0.2311021,12
charge_density,0.22938193,13
aa_N,0.21123046,14
aa_Q,0.20690328,15
aa_H,0.2049836,16
aa_M,0.19278555,17
aa_R,0.17414019,18
aa_Y,0.17240408,19
aa_G,0.17092042,20
aa_P,0.16754666,21
positive_count,0.15009752,22
hydrophobic_fraction,0.147543,23
hydrophobicity,0.14033668,24
aa_W,0.12566446,25
aa_S,0.115368225,26
aa_A,0.11223361,27
negative_fraction,0.107221335,28
isoelectric_point,0.09960113,29
aa_E,0.082541436,30
